2000,1150,925,120
940,1350,845,120
1705,1960,555,435
2300,1940,220,450
2145,950,370,120
1100,570,315,80
740,1960,440,110
640,570,325,75
2465,0,480,530
110,1740,540,120
186,570,340,75
445,1185,1545,85
445,1100,1545,85
2530,950,390,120
110,1350,810,115
110,1150,160,120
520,950,335,120
110,950,370,120
2515,1540,410,120
110,1540,1135,120
2085,1570,420,95
1690,1570,380,90
1265,1540,410,120
105,1950,150,120
1190,1960,465,110
1470,950,660,120
275,1960,445,110
2665,1350,255,120
83,2264,450,98
870,950,590,120
1800,1350,845,120
